Supply Loc,Delivery Loc,Item No,Item Description,Vendor Name,Vendor Ctlg No,Mfr Name,Mfr Ctlg No,Comdty Name ,Comdty Code,Exp Code,Requisition No,Requisition Date,Issue Qty,UM,Price,Extended Price
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,72901,LEVONORGST/ETH ESTRA 0.1/0.02,AMERISOURCE CORP,962062,AMERISOURCE,52544096728,CONTRACEPTIVES,CMDY10HR03,4212,1237261,02/17/15 12:27,-28,EA,$0.48,-$13.48
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,72451,OMEPRAZOLE 40MG CAP NF,AMERISOURCE CORP,25197,ASTRA LABS,186074368,ANTACIDS,CMDY10GI01,4212,1242121,02/25/15 12:41,30,EA,$0.15,$4.61
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,71573,NAPROXEN 500MG TAB NF,AMERISOURCE CORP,430577,AMERISOURCE,68462019001,ANALGESICS/NARCOTICS/ANTIPYRET,CMDY10CN02,4212,1248548,03/10/15 12:26,40,EA,$0.05,$1.94
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,71573,NAPROXEN 500MG TAB NF,AMERISOURCE CORP,430577,AMERISOURCE,68462019001,ANALGESICS/NARCOTICS/ANTIPYRET,CMDY10CN02,4212,1248548,03/10/15 12:26,60,EA,$0.05,$2.92
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,72957,METRONIDAZOLE 0.75% 70GM VAGINAL GEL NF,AMERISOURCE CORP,806618,AMERISOURCE,245086070,ANTIBIOTICS-MISC. ANTIBIOTICS,CMDY10AB09,4212,1248548,03/10/15 12:26,1,EA,$20.39,$20.39
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,72965,BUPROPION 100MG SR TAB NF,AMERISOURCE CORP,10011702,AMERISOURCE,185041060,PSYCHOTHERAPUETIC AGENTS,CMDY10CN04,4212,1252212,03/17/15 11:58,60,EA,$0.18,$10.63
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,72451,OMEPRAZOLE 40MG CAP NF,AMERISOURCE CORP,10002732,ASTRA LABS,186074368,ANTACIDS,CMDY10GI01,4212,1261213,04/02/15 15:30,30,EA,$0.15,$4.61
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,72451,OMEPRAZOLE 40MG CAP NF,AMERISOURCE CORP,10002732,ASTRA LABS,186074368,ANTACIDS,CMDY10GI01,4212,1276075,04/29/15 15:47,30,EA,$0.15,$4.61
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,72451,OMEPRAZOLE 40MG CAP NF,AMERISOURCE CORP,10002732,ASTRA LABS,186074368,ANTACIDS,CMDY10GI01,4212,1286162,05/19/15 15:02,30,EA,$0.15,$4.38
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,72957,METRONIDAZOLE 0.75% 70GM VAGINAL GEL NF,AMERISOURCE CORP,10058549,AMERISOURCE,245086070,ANTIBIOTICS-MISC. ANTIBIOTICS,CMDY10AB09,4212,1298349,06/11/15 13:27,1,EA,$72.82,$72.82
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,72451,OMEPRAZOLE 40MG CAP NF,AMERISOURCE CORP,10002732,ASTRA LABS,186074368,ANTACIDS,CMDY10GI01,4212,1305592,06/24/15 13:34,30,EA,$0.15,$4.38
Expense Code Total:,$607.39,,,,,,,,,,,,,,,
EXPENSE CODE:,4213,,,,,,,,,,,,,,,
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,71910,PYRIDOXINE  50MG TAB,MOUNT SINAI HOSPITAL,773168,AMERISOURCE,536440801,GENERAL,CMDY10VI01,4213,1216418,01/06/15 12:45,30,EA,$0.03,$0.81
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,71524,MORPHINE SULF SUST REL 30MG TAB,AMERISOURCE CORP NARCOTICS,851042,AMERISOURCE,406833001,ANALGESICS/NARCOTICS/ANTIPYRET,CMDY10CN02,4213,1216418,01/06/15 12:45,60,EA,$0.73,$43.58
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,70193,ATROPINE  1% OPHTH SOL 15ML,AMERISOURCE CORP,127886,E FOUGERA,24208075006,OPHTHALMICS/GENERAL,CMDY10OP01,4213,1216415,01/06/15 12:45,1,EA,$15.62,$15.62
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,71185,ISONIAZID 300MG TAB,AMERISOURCE CORP,757526,AMERISOURCE,555007102,ANTIBIOTICS-ANTITUBERCULARS,CMDY10AB14,4213,1216415,01/06/15 12:45,30,EA,$0.13,$4.04
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,71137,INSULIN HUMAN NPH 100 UNITS/ML 10ML,AMERISOURCE CORP,51342,AMERISOURCE,169183411,DIABETIC AGENTS,CMDY10DA00,4213,1216415,01/06/15 12:45,2,EA,$103.31,$206.62
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,71824,PREDNISOLONE ACET 1% OPH 5ML,AMERISOURCE CORP,216572,AMERISOURCE,11980018005,OPHTHALMICS/GENERAL,CMDY10OP01,4213,1216418,01/06/15 12:45,1,EA,$40.80,$40.80
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,71419,METFORMIN 500MG TAB,AMERISOURCE CORP,954887,AMERISOURCE,68382002805,DIABETIC AGENTS,CMDY10DA00,4213,1216418,01/06/15 12:45,120,EA,$0.02,$2.21
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,71247,LATANOPROST 0.005% OPHTH SOL 2.5ML,AMERISOURCE CORP,89639,PHARMACIA UPJOHN,59762033302,OPHTHALMICS/GENERAL,CMDY10OP01,4213,1216418,01/06/15 12:45,1,EA,$6.36,$6.36
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,72498,LISINOPRIL 20MG TAB BOTTLE,AMERISOURCE CORP,277766,MERCK SHARPE DOHME,185010201,CARDIOVASCULAR-HYPOTENSIVES,CMDY10CV03,4213,1216418,01/06/15 12:45,60,EA,$0.02,$1.45
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,71821,PRAVASTATIN 40MG TAB,AMERISOURCE CORP,64675,BRISTOL MEYERS SQUIBB,68180048709,CARDIOVASCULAR-ANTILIPEMICS,CMDY10CV02,4213,1216576,01/06/15 15:06,30,EA,$0.39,$11.78
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,72498,LISINOPRIL 20MG TAB BOTTLE,AMERISOURCE CORP,277766,MERCK SHARPE DOHME,185010201,CARDIOVASCULAR-HYPOTENSIVES,CMDY10CV03,4213,1216576,01/06/15 15:06,30,EA,$0.02,$0.73
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,72498,LISINOPRIL 20MG TAB BOTTLE,AMERISOURCE CORP,277766,MERCK SHARPE DOHME,185010201,CARDIOVASCULAR-HYPOTENSIVES,CMDY10CV03,4213,1216576,01/06/15 15:06,60,EA,$0.02,$1.45
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,71989,SIMVASTATIN TAB 40MG 90S,AMERISOURCE CORP,777577,MERCK SHARPE DOHME,16729000615,CARDIOVASCULAR-ANTILIPEMICS,CMDY10CV02,4213,1216576,01/06/15 15:06,30,EA,$0.04,$1.06
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,71987,SIMVASTATIN TAB 20MG,AMERISOURCE CORP,777591,MERCK SHARPE DOHME,55111019990,CARDIOVASCULAR-ANTILIPEMICS,CMDY10CV02,4213,1216576,01/06/15 15:06,30,EA,$0.02,$0.69
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,74855,METFORMIN 1000MG TAB 500,AMERISOURCE CORP,954519,AMERICAN HEALTH PACKAGING,53746022005,DIABETIC AGENTS,CMDY10DA00,4213,1216576,01/06/15 15:06,60,EA,$0.03,$1.89
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,71053,HYDROCHLOROTHIAZIDE 25MG TAB,AMERISOURCE CORP,708723,AMERISOURCE,172208360,CARDIOVASCULAR-DIURETICS,CMDY10CV12,4213,1216576,01/06/15 15:06,30,EA,$0.01,$0.29
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,71053,HYDROCHLOROTHIAZIDE 25MG TAB,AMERISOURCE CORP,708723,AMERISOURCE,172208360,CARDIOVASCULAR-DIURETICS,CMDY10CV12,4213,1216576,01/06/15 15:06,15,EA,$0.01,$0.15
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,70730,DOCUSATE SODIUM 100MG CAP,AMERISOURCE CORP,440503,AMERISOURCE,57896040110,LAXATIVES/CATHARTICS,CMDY10GI04,4213,1216576,01/06/15 15:06,30,EA,$0.00,$0.05
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,73390,PEG 3350 PWD 17G MIRALAX,AMERISOURCE CORP,48512,AMERISOURCE,51079030630,DIAGNOSTICS,CMDY10DI00,4213,1216709,01/06/15 16:19,30,EA,$0.62,$18.48
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,72343,FUROSEMIDE 40MG TAB 1000S,AMERISOURCE CORP,258491,ROXANNE LABS,54429931,CARDIOVASCULAR-DIURETICS,CMDY10CV12,4213,1216709,01/06/15 16:19,60,EA,$0.02,$0.90
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,71616,NIFEDIPINE XL 60MG TAB,AMERISOURCE CORP,226201,AMERISOURCE,59762669103,CARDIOVASCULAR-HYPOTENSIVES,CMDY10CV03,4213,1216709,01/06/15 16:19,30,EA,$0.46,$13.88
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,71137,INSULIN HUMAN NPH 100 UNITS/ML 10ML,AMERISOURCE CORP,51342,AMERISOURCE,169183411,DIABETIC AGENTS,CMDY10DA00,4213,1216709,01/06/15 16:19,2,EA,$103.31,$206.62
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,72602,BISACODYL EC 5MG TAB 100S,AMERISOURCE CORP,611988,MAJOR PHARMACEUTICALS,904792760,LAXATIVES/CATHARTICS,CMDY10GI04,4213,1216709,01/06/15 16:19,3,EA,$0.01,$0.04
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,71974,SERTRALINE 50MG TAB,AMERISOURCE CORP,993530,PFIZER,59762490001,PSYCHOTHERAPUETIC AGENTS,CMDY10CN04,4213,1217950,01/08/15 13:47,30,EA,$0.05,$1.38
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,71827,PREDNISONE  5MG TAB 100S,AMERISOURCE CORP,213504,SCHEIN PHARMACEUTICALS,54472831,CORTICOSTEROIDS,CMDY10HR02,4213,1217950,01/08/15 13:47,30,EA,$0.12,$3.49
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,71101,IBUPROFEN 400MG TAB 500S,AMERISOURCE CORP,409789,SCHEIN PHARMACEUTICALS,364076505,ANALGESICS/NARCOTICS/ANTIPYRET,CMDY10CN02,4213,1217950,01/08/15 13:47,60,EA,$0.05,$2.74
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,70933,FOLIC ACID 1MG TAB,AMERISOURCE CORP,107730,WESTWOOD-SQUIBB PHARMACEUTICALS,143971710,GENERAL,CMDY10VI01,4213,1217950,01/08/15 13:47,90,EA,$0.01,$1.31
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,71830,PREDNISONE 10MG TAB,AMERISOURCE CORP,872804,AMERISOURCE,143147301,CORTICOSTEROIDS,CMDY10HR02,4213,1217950,01/08/15 13:47,30,EA,$0.12,$3.70
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,71338,LORATADINE 10MG TAB,AMERISOURCE CORP,29355,AMERISOURCE,67607030,ANTIHISTAMINES/DEC,CMDY10AH01,4213,1217950,01/08/15 13:47,30,EA,$0.05,$1.38
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,72146,SMZ/TMP SS TAB,AMERISOURCE CORP,698548,AMERISOURCE,53489014501,ANTIBIOTICS-URINARY ANTI-INFEC,CMDY10AB19,4213,1218407,01/09/15 11:20,-20,EA,$0.08,-$1.56
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,73578,TRAMADOL HCL 50MG TAB,AMERISOURCE CORP CONTROL DRUGS,576285,J O M PHARMACEUTICAL SERVICES,50458065960,ANALGESICS/NARCOTICS/ANTIPYRET,CMDY10CN02,4213,1218424,01/09/15 11:20,-60,EA,$0.02,-$1.21
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,72833,GLIMEPIRIDE 2MG TABLET,AMERISOURCE CORP,841559,AMERISOURCE,55111032101,DIABETIC AGENTS,CMDY10DA00,4213,1218506,01/09/15 12:26,30,EA,$0.04,$1.08
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,71419,METFORMIN 500MG TAB,AMERISOURCE CORP,954887,AMERISOURCE,68382002805,DIABETIC AGENTS,CMDY10DA00,4213,1218506,01/09/15 12:26,120,EA,$0.02,$2.21
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,70177,ASPIRIN 81MG CHEWABLE TAB,AMERISOURCE CORP,849588,AMERISOURCE,57896091136,ANALGESICS/NARCOTICS/ANTIPYRET,CMDY10CN02,4213,1218506,01/09/15 12:26,36,EA,$0.02,$0.55
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,74315,PANTOPRAZOLE 20MG TAB BULK,AMERISOURCE CORP,770697,AMERISOURCE,64679043302,ANTACIDS,CMDY10GI01,4213,1218577,01/09/15 13:00,30,EA,$0.13,$3.93
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,72833,GLIMEPIRIDE 2MG TABLET,AMERISOURCE CORP,841559,AMERISOURCE,55111032101,DIABETIC AGENTS,CMDY10DA00,4213,1218577,01/09/15 13:00,60,EA,$0.04,$2.17
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,74855,METFORMIN 1000MG TAB 500,AMERISOURCE CORP,954519,AMERICAN HEALTH PACKAGING,53746022005,DIABETIC AGENTS,CMDY10DA00,4213,1218577,01/09/15 13:00,60,EA,$0.03,$1.89
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,72498,LISINOPRIL 20MG TAB BOTTLE,AMERISOURCE CORP,277766,MERCK SHARPE DOHME,185010201,CARDIOVASCULAR-HYPOTENSIVES,CMDY10CV03,4213,1218577,01/09/15 13:00,30,EA,$0.02,$0.73
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,71987,SIMVASTATIN TAB 20MG,AMERISOURCE CORP,777591,MERCK SHARPE DOHME,55111019990,CARDIOVASCULAR-ANTILIPEMICS,CMDY10CV02,4213,1218577,01/09/15 13:00,30,EA,$0.02,$0.69
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,74389,VENTOLIN HFA 90MCG INH 18GM - OPD ONLY,AMERISOURCE CORP,7524,GLAXOSMITHKLINE,173068220,RESPIRATORY AGENTS-MISC,CMDY10RE01,4213,1218630,01/09/15 13:55,1,EA,$39.83,$39.83
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,74614,ACETAMINOPHEN 325MG TAB 100'S,AMERISOURCE CORP,215463,AMERISOURCE,57896010101,ANALGESICS/NARCOTICS/ANTIPYRET,CMDY10CN02,4213,1218630,01/09/15 13:55,30,EA,$0.01,$0.22
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,74061,VITAMIN D3 1000 IU TAB OPD ONLY,AMERISOURCE CORP,761472,AMERISOURCE,40985027062,GENERAL,CMDY10VI01,4213,1218630,01/09/15 13:55,60,EA,$0.01,$0.79
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,72845,TOPIRAMATE 25MG TAB,AMERISOURCE CORP,93708,AMERISOURCE,68162010860,ANTICONVULSANTS,CMDY10CN03,4213,1218630,01/09/15 13:55,90,EA,$0.04,$3.29
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,72600,CALCIUM CARB 1250MG TAB,AMERISOURCE CORP,573832,AMERISOURCE,54812025,GENERAL,CMDY10VI01,4213,1218630,01/09/15 13:55,90,EA,$0.02,$1.49
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,71419,METFORMIN 500MG TAB,AMERISOURCE CORP,954887,AMERISOURCE,68382002805,DIABETIC AGENTS,CMDY10DA00,4213,1218630,01/09/15 13:55,180,EA,$0.02,$3.31
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,70438,CHLORTHALIDONE 25MG TAB,AMERISOURCE CORP,456533,AMERISOURCE,378022201,CARDIOVASCULAR-DIURETICS,CMDY10CV12,4213,1218630,01/09/15 13:55,15,EA,$0.65,$9.70
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,70177,ASPIRIN 81MG CHEWABLE TAB,AMERISOURCE CORP,849588,AMERISOURCE,57896091136,ANALGESICS/NARCOTICS/ANTIPYRET,CMDY10CN02,4213,1218630,01/09/15 13:55,36,EA,$0.02,$0.55
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,74827,FERROUS GLUCONATE 324MG TAB,AMERISOURCE CORP,462259,AMERISOURCE,574050801,IRON SUPPLEMENTS,CMDY10VI02,4213,1218630,01/09/15 13:55,30,EA,$0.04,$1.29
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,72480,NORGESTIMATE/ETHINYL ESTRADIOL,AMERISOURCE CORP,892310,ORTHO PHARMACEUTICALS,555901858,CONTRACEPTIVES,CMDY10HR03,4213,1220100,01/13/15 12:24,84,EA,$0.32,$26.76
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,71827,PREDNISONE  5MG TAB 100S,AMERISOURCE CORP,213504,SCHEIN PHARMACEUTICALS,54472831,CORTICOSTEROIDS,CMDY10HR02,4213,1220100,01/13/15 12:24,30,EA,$0.12,$3.49
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,71101,IBUPROFEN 400MG TAB 500S,AMERISOURCE CORP,409789,SCHEIN PHARMACEUTICALS,364076505,ANALGESICS/NARCOTICS/ANTIPYRET,CMDY10CN02,4213,1220100,01/13/15 12:24,42,EA,$0.05,$1.92
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,74061,VITAMIN D3 1000 IU TAB OPD ONLY,AMERISOURCE CORP,761472,AMERISOURCE,40985027062,GENERAL,CMDY10VI01,4213,1220100,01/13/15 12:24,60,EA,$0.01,$0.79
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,73635,VITAMIN D3 400IU TAB 100S,AMERISOURCE CORP,761484,AMERISOURCE,54629001162,GENERAL,CMDY10VI01,4213,1220100,01/13/15 12:24,60,EA,$0.01,$0.68
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,73614,ROSUVASTATIN 20MG TAB BOTTLE,AMERISOURCE CORP,863790,AMERISOURCE,310075290,CARDIOVASCULAR-ANTILIPEMICS,CMDY10CV02,4213,1220100,01/13/15 12:24,30,EA,$4.53,$135.82
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,72498,LISINOPRIL 20MG TAB BOTTLE,AMERISOURCE CORP,277766,MERCK SHARPE DOHME,185010201,CARDIOVASCULAR-HYPOTENSIVES,CMDY10CV03,4213,1220100,01/13/15 12:24,30,EA,$0.02,$0.73
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,71987,SIMVASTATIN TAB 20MG,AMERISOURCE CORP,777591,MERCK SHARPE DOHME,55111019990,CARDIOVASCULAR-ANTILIPEMICS,CMDY10CV02,4213,1220100,01/13/15 12:24,30,EA,$0.02,$0.69
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,74855,METFORMIN 1000MG TAB 500,AMERISOURCE CORP,954519,AMERICAN HEALTH PACKAGING,53746022005,DIABETIC AGENTS,CMDY10DA00,4213,1220100,01/13/15 12:24,60,EA,$0.03,$1.89
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,72611,ALENDRONATE TAB 70MG,AMERISOURCE CORP,777735,TEVA PHARMACEUTICALS,93517144,OSTEOPOROSIS,CMDY10CA01,4213,1220100,01/13/15 12:24,4,EA,$0.56,$2.22
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,72832,GLIMEPIRIDE 1MG TAB 100'S,AMERISOURCE CORP,84451,AMERISOURCE,55111032001,DIABETIC AGENTS,CMDY10DA00,4213,1220100,01/13/15 12:24,60,EA,$0.02,$1.39
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,72777,LOSARTAN 100MG TAB,AMERISOURCE CORP,188610,AMERISOURCE,6096058,CARDIOVASCULAR-HYPOTENSIVES,CMDY10CV03,4213,1220100,01/13/15 12:24,30,EA,$0.08,$2.40
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,72600,CALCIUM CARB 1250MG TAB,AMERISOURCE CORP,573832,AMERISOURCE,54812025,GENERAL,CMDY10VI01,4213,1220100,01/13/15 12:24,60,EA,$0.02,$0.99
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,72600,CALCIUM CARB 1250MG TAB,AMERISOURCE CORP,573832,AMERISOURCE,54812025,GENERAL,CMDY10VI01,4213,1220100,01/13/15 12:24,60,EA,$0.02,$0.99
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,71470,METOPROLOL TART 50MG TAB 100S,AMERISOURCE CORP,118315,AMERISOURCE,57664047752,CARDIOVASCULAR-HYPOTENSIVES,CMDY10CV03,4213,1220100,01/13/15 12:24,60,EA,$0.01,$0.85
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,71434,METHOTREXATE 2.5MG TAB,AMERISOURCE CORP,817049,AMERISOURCE,67253032010,NEOPLASTIC,CMDY10NE00,4213,1220100,01/13/15 12:24,12,EA,$1.71,$20.57
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,71419,METFORMIN 500MG TAB,AMERISOURCE CORP,954887,AMERISOURCE,68382002805,DIABETIC AGENTS,CMDY10DA00,4213,1220100,01/13/15 12:24,120,EA,$0.02,$2.21
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,71053,HYDROCHLOROTHIAZIDE 25MG TAB,AMERISOURCE CORP,708723,AMERISOURCE,172208360,CARDIOVASCULAR-DIURETICS,CMDY10CV12,4213,1220100,01/13/15 12:24,30,EA,$0.01,$0.29
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,70438,CHLORTHALIDONE 25MG TAB,AMERISOURCE CORP,456533,AMERISOURCE,378022201,CARDIOVASCULAR-DIURETICS,CMDY10CV12,4213,1220100,01/13/15 12:24,30,EA,$0.65,$19.40
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,70177,ASPIRIN 81MG CHEWABLE TAB,AMERISOURCE CORP,849588,AMERISOURCE,57896091136,ANALGESICS/NARCOTICS/ANTIPYRET,CMDY10CN02,4213,1220100,01/13/15 12:24,36,EA,$0.02,$0.55
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,72834,GLIMEPIRIDE 4MG TAB,AMERISOURCE CORP,786653,AMERISOURCE,9325601,IRON SUPPLEMENTS,CMDY10VI02,4213,1220209,01/13/15 13:57,30,EA,$0.05,$1.49
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,72833,GLIMEPIRIDE 2MG TABLET,AMERISOURCE CORP,841559,AMERISOURCE,55111032101,DIABETIC AGENTS,CMDY10DA00,4213,1220209,01/13/15 13:57,60,EA,$0.04,$2.17
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,72776,PANTOPRAZOLE 40MG TAB,AMERISOURCE CORP,368148,AMERISOURCE,8084181,ANTACIDS,CMDY10GI01,4213,1220209,01/13/15 13:57,30,EA,$0.07,$2.16
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,72600,CALCIUM CARB 1250MG TAB,AMERISOURCE CORP,573832,AMERISOURCE,54812025,GENERAL,CMDY10VI01,4213,1220209,01/13/15 13:57,30,EA,$0.02,$0.50
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,72600,CALCIUM CARB 1250MG TAB,AMERISOURCE CORP,573832,AMERISOURCE,54812025,GENERAL,CMDY10VI01,4213,1220209,01/13/15 13:57,90,EA,$0.02,$1.49
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,72522,CITALOPRAM 40MG TAB,AMERISOURCE CORP,60475,AMERISOURCE,60505252001,PSYCHOTHERAPUETIC AGENTS,CMDY10CN04,4213,1220209,01/13/15 13:57,30,EA,$0.03,$0.91
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,72047,SULFASALAZINE 500MG TAB,AMERISOURCE CORP,697078,AMERISOURCE,52544079605,ANTIBIOTICS-SULFONAMIDES,CMDY10AB17,4213,1220209,01/13/15 13:57,111,EA,$0.14,$16.05
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,71977,SERTRALINE 100MG TAB,AMERISOURCE CORP,1060,AMERISOURCE,59762491001,PSYCHOTHERAPUETIC AGENTS,CMDY10CN04,4213,1220209,01/13/15 13:57,30,EA,$0.06,$1.83
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,71977,SERTRALINE 100MG TAB,AMERISOURCE CORP,1060,AMERISOURCE,59762491001,PSYCHOTHERAPUETIC AGENTS,CMDY10CN04,4213,1220209,01/13/15 13:57,30,EA,$0.06,$1.83
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,71830,PREDNISONE 10MG TAB,AMERISOURCE CORP,872804,AMERISOURCE,143147301,CORTICOSTEROIDS,CMDY10HR02,4213,1220209,01/13/15 13:57,45,EA,$0.12,$5.55
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,71338,LORATADINE 10MG TAB,AMERISOURCE CORP,29355,AMERISOURCE,67607030,ANTIHISTAMINES/DEC,CMDY10AH01,4213,1220209,01/13/15 13:57,30,EA,$0.05,$1.38
