NAME_DOSE,NAME,DOSE,COST,,,,,,,,,,
Rifampin 400mg,Rifampin,400mg,$0.54,,,,,,,,,,
RIPE THERAPY 400mg,RIPE THERAPY,400mg,$0.54,,,,,,,,,,
Terbinafine 250mg,Terbinafine,250mg,$0.12,,,,,,,,,,
TMP/SMX DS tab 160mg/800mg,TMP/SMX,DS tab 160mg/800mg,$0.06,,,,,,,,,,
TMP/SMX SS tab 80mg/400mg,TMP/SMX,SS tab 80mg/400mg,$0.12,,,,,,,,,,
Valacyclovir 1g,Valacyclovir,1g,$2.00,,,,,,,,,,
Valacyclovir 500mg,Valacyclovir,500mg,$0.78,,,,,,,,,,
Famciclovir 500mg,Famciclovir,500mg,$1.76,,,,,,,,,,
Acyclovir 200mg,Acyclovir,200mg,$0.05,,,,,,,,,,
Ganciclovir 200mg,Ganciclovir,200mg,$0.05,,,,,,,,,,
Lisinopril 20mg,Lisinopril,20mg,$0.03,,,,,,,,,,
Lisinopril 10mg,Lisinopril,10mg,$0.02,,,,,,,,,,
Enalapril 20mg,Enalapril,20mg,$0.02,,,,,,,,,,
Losartan 25mg,Losartan,25mg,$0.05,,,,,,,,,,
Losartan 50mg,Losartan,50mg,$0.08,,,,,,,,,,
Losartan 100mg,Losartan,100mg,$0.08,,,,,,,,,,
Valsartan - DO NOT PRESCRIBE. See TS for PDAP. 100mg,Valsartan - DO NOT PRESCRIBE. See TS for PDAP.,100mg,$0.08,,,,,,,,,,
Valsartan - DO NOT PRESCRIBE. See TS for PDAP. 25mg,Valsartan - DO NOT PRESCRIBE. See TS for PDAP.,25mg,$0.05,,,,,,,,,,
Valsartan - DO NOT PRESCRIBE. See TS for PDAP. 50mg,Valsartan - DO NOT PRESCRIBE. See TS for PDAP.,50mg,$0.08,,,,,,,,,,
Furosemide 20mg,Furosemide,20mg,$0.01,,,,,,,,,,
Furosemide 40mg,Furosemide,40mg,$0.02,,,,,,,,,,
Chlorthalidone - DO NOT PRESCRIBE. See TS for clearance. 25mg,50mg,Chlorthalidone - DO NOT PRESCRIBE. See TS for clearance.,25mg,50mg,$0.73,,,,,,,,
Hydrochlorothiazide 25mg, 50mg,Hydrochlorothiazide,25mg, 50mg,$0.02,,,,,,,,
Spironolactone 25mg,Spironolactone,25mg,$0.07,,,,,,,,,,
Acetazolamide 250mg,Acetazolamide,250mg,$1.96,,,,,,,,,,
Metoprolol Tartrate 100mg,Metoprolol Tartrate,100mg,$0.03,,,,,,,,,,
Metoprolol Tartrate 50mg,Metoprolol Tartrate,50mg,$0.02,,,,,,,,,,
Propranolol 40mg,Propranolol,40mg,$0.02,,,,,,,,,,
Propranolol 10mg,Propranolol,10mg,$0.03,,,,,,,,,,
Propranolol 80mg,Propranolol,80mg,$0.04,,,,,,,,,,
Atenolol 50mg,Atenolol,50mg,$0.02,,,,,,,,,,
Atenolol 25mg,Atenolol,25mg,$0.01,,,,,,,,,,
Nifedipine 30mg,Nifedipine,30mg,$0.81,,,,,,,,,,
Nifedipine 60mg,Nifedipine,60mg,$0.40,,,,,,,,,,
Amlodipine 2.5mg,Amlodipine,2.5mg,$0.03,,,,,,,,,,
Diltiazem 60mg,Diltiazem,60mg,$0.04,,,,,,,,,,
Diltiazem 30mg,Diltiazem,30mg,$0.02,,,,,,,,,,
Diltiazem 240mg,Diltiazem,240mg,$0.69,,,,,,,,,,
Diltiazem 120mg,Diltiazem,120mg,$0.41,,,,,,,,,,
Diltiazem 300mg,Diltiazem,300mg,$0.86,,,,,,,,,,
Diltiazem 180mg,Diltiazem,180mg,$0.49,,,,,,,,,,
Verapamil 120mg,Verapamil,120mg,$0.05,,,,,,,,,,
Verapamil 80mg,Verapamil,80mg,$0.05,,,,,,,,,,
Verapamil 240mg,Verapamil,240mg,$0.16,,,,,,,,,,
Verapamil 180mg,Verapamil,180mg,$0.17,,,,,,,,,,
Verapamil 120mg,Verapamil,120mg,$0.57,,,,,,,,,,
Nitroglycerin 0.4mg tab 25pack ,Nitroglycerin 0.4mg tab 25pack,,$0.33,,,,,,,,,,
Isosorbide mononitrate 30mg,Isosorbide mononitrate,30mg,$0.18,,,,,,,,,,
Isosorbide mononitrate 60mg,Isosorbide mononitrate,60mg,$0.20,,,,,,,,,,
Digoxin 0.125mg,Digoxin,0.125mg,$0.26,,,,,,,,,,
Digoxin 0.25mg,Digoxin,0.25mg,$0.26,,,,,,,,,,
Terazosin 1mg,Terazosin,1mg,$0.04,,,,,,,,,,
Clonidine 0.1mg,Clonidine,0.1mg,$0.02,,,,,,,,,,
Clonidine 0.2mg,Clonidine,0.2mg,$0.03,,,,,,,,,,
Simvastatin 20mg,Simvastatin,20mg,$0.02,,,,,,,,,,
Simvastatin 40mg,Simvastatin,40mg,$0.04,,,,,,,,,,
Simvastatin 10mg,Simvastatin,10mg,$0.02,,,,,,,,,,
Rosuvastatin (Crestor) - DO NOT PRESCRIBE 10mg, 20mg, 40mg,Rosuvastatin (Crestor) - DO NOT PRESCRIBE,10mg, 20mg, 40mg,$5.00,,,,,,
Pravastatin 10mg,Pravastatin,10mg,$0.07,,,,,,,,,,
Pravastatin 80mg,Pravastatin,80mg,$0.16,,,,,,,,,,
Pravastatin 40mg,Pravastatin,40mg,$0.35,,,,,,,,,,
Pravastatin 20mg,Pravastatin,20mg,$0.18,,,,,,,,,,
Atorvastatin 40mg,Atorvastatin,40mg,$0.09,,,,,,,,,,
Atorvastatin 10mg,Atorvastatin,10mg,$0.09,,,,,,,,,,
Atorvastatin 20mg,Atorvastatin,20mg,$0.25,,,,,,,,,,
Atorvastatin 80mg,Atorvastatin,80mg,$0.11,,,,,,,,,,
Red yeast rice 80mg,Red yeast rice,80mg,$0.16,,,,,,,,,,
Red yeast rice 20mg,Red yeast rice,20mg,$0.18,,,,,,,,,,
Red yeast rice 10mg,Red yeast rice,10mg,$0.07,,,,,,,,,,
Red yeast rice 40mg,Red yeast rice,40mg,$0.07,,,,,,,,,,
Niacin 500mg,Niacin,500mg,$0.20,,,,,,,,,,
Gemfibrozil 600mg,Gemfibrozil,600mg,$0.15,,,,,,,,,,
Fenofibrate (Tricor, Triglide) - DO NOT PRESCRIBE. See TS for PDAP. 600mg,Fenofibrate (Tricor, Triglide) - DO NOT PRESCRIBE. See TS for PDAP.,600mg,$0.15,,,,,,,,
Aspirin 81mg,Aspirin,81mg,$0.02,,,,,,,,,,
Warfarin 2mg, 2.5mg, 3mg, 4mg, 5mg,Warfarin,2mg, 2.5mg, 3mg, 4mg, 5mg,$0.04,,
Warfarin 1mg,Warfarin,1mg,$0.03,,,,,,,,,,
Warfarin 5mg, 7.5mg, 10mg,Warfarin,5mg, 7.5mg, 10mg,$0.05,,,,,,
Clopidogrel (Plavix) - DO NOT PRESCRIBE 75mg,Clopidogrel (Plavix) - DO NOT PRESCRIBE,75mg,$6.08,,,,,,,,,,
Lifestyle Modification ,Lifestyle Modification,,$0.00,,,,,,,,,,
Metformin 850mg,Metformin,850mg,$0.03,,,,,,,,,,
Metformin 500mg,Metformin,500mg,$0.02,,,,,,,,,,
Glimeperide 4mg,Glimeperide,4mg,$0.26,,,,,,,,,,
Glimeperide 2mg,Glimeperide,2mg,$0.04,,,,,,,,,,
Glimeperide 1mg,Glimeperide,1mg,$0.02,,,,,,,,,,
Glipizide XL formulations only 10mg,Glipizide XL formulations only,10mg,$0.27,,,,,,,,,,
Glipizide XL formulations only 2.5mg,Glipizide XL formulations only,2.5mg,$0.22,,,,,,,,,,
Glipizide XL formulations only 5mg,Glipizide XL formulations only,5mg,$0.14,,,,,,,,,,
Glucometer lancets 5mg,Glucometer lancets,5mg,$0.14,,,,,,,,,,
Glucometer lancets 10mg,Glucometer lancets,10mg,$0.27,,,,,,,,,,
Glucometer lancets 2.5mg,Glucometer lancets,2.5mg,$0.22,,,,,,,,,,
Glucometer test strips 5mg,Glucometer test strips,5mg,$0.14,,,,,,,,,,
Glucometer test strips 2.5mg,Glucometer test strips,2.5mg,$0.22,,,,,,,,,,
Glucometer test strips 10mg,Glucometer test strips,10mg,$0.27,,,,,,,,,,
Glucometers 5mg,Glucometers,5mg,$0.14,,,,,,,,,,
Glucometers 10mg,Glucometers,10mg,$0.27,,,,,,,,,,
Glucometers 2.5mg,Glucometers,2.5mg,$0.22,,,,,,,,,,
Insulin ,Insulin,,$113.58,,,,,,,,,,
Insulin LANTUS - DO NOT PRESCRIBE 10mL,Insulin LANTUS - DO NOT PRESCRIBE,10mL,$116.27,,,,,,,,,,
,,,,,,,,,,,,,
Pioglitazone (Actos) - DO NOT PRESCRIBE 10mL,Pioglitazone (Actos) - DO NOT PRESCRIBE,10mL,$116.27,,,,,,,,,,
Rosiglitazone (Avandia) - DO NOT PRESCRIBE. See TS for PDAP.. 4mg,Rosiglitazone (Avandia) - DO NOT PRESCRIBE. See TS for PDAP..,4mg,$0.91,,,,,,,,,,
Januvia - DO NOT PRESCRIBE. See TS for PDAP. 4mg,Januvia - DO NOT PRESCRIBE. See TS for PDAP.,4mg,$0.91,,,,,,,,,,
Tums 4mg,Tums,4mg,$0.91,,,,,,,,,,
Maalox 4mg,Maalox,4mg,$0.91,,,,,,,,,,
Omeprazole 20mg OTC tab,Omeprazole,20mg OTC tab,$0.47,,,,,,,,,,
Omeprazole 40mg,Omeprazole,40mg,$0.15,,,,,,,,,,
Esomeprazole (Nexium) - DO NOT PRESCRIBE 20mg,40mg,Esomeprazole (Nexium) - DO NOT PRESCRIBE,20mg,40mg,$6,,,,,,,,
Famotidine 20mg,Famotidine,20mg,$0.03,,,,,,,,,,
Famotidine 40mg,Famotidine,40mg,$0.06,,,,,,,,,,
Ranitidine 150mg,Ranitidine,150mg,$0.04,,,,,,,,,,
Pantoprazole 20mg,Pantoprazole,20mg,$0.10,,,,,,,,,,
Pantoprazole 40mg,Pantoprazole,40mg,$0.07,,,,,,,,,,
Misoprostol 100mg,Misoprostol,100mg,$0.35,,,,,,,,,,
Misoprostol 50mg,Misoprostol,50mg,$0.45,,,,,,,,,,
Docusate sodium 100mg,Docusate sodium,100mg,$0.02,,,,,,,,,,
Senna 8.6mg,Senna,8.6mg,$0.01,,,,,,,,,,
Bisacodyl 10mg,Bisacodyl,10mg,$0.12,,,,,,,,,,
Bisacodyl 5mg,Bisacodyl,5mg,$0.03,,,,,,,,,,
Miralax 5mg,Miralax,5mg,$0.01,,,,,,,,,,
Miralax 10mg,Miralax,10mg,$0.12,,,,,,,,,,
MoviPrep 5mg,MoviPrep,5mg,$0.01,,,,,,,,,,
MoviPrep 10mg,MoviPrep,10mg,$0.12,,,,,,,,,,
Erythromycin 250mg,Erythromycin,250mg,$2.68,,,,,,,,,,
Meclizine 25mg,Meclizine,25mg,$0.30,,,,,,,,,,
Metoclopramide 10mg,Metoclopramide,10mg,$0.03,,,,,,,,,,
Simethicone 80mg,Simethicone,80mg,$0.01,,,,,,,,,,
Fluoxetine 10mg,Fluoxetine,10mg,$0.03,,,,,,,,,,
Fluoxetine 20mg,Fluoxetine,20mg,$0.02,,,,,,,,,,
Citalopram 20mg,Citalopram,20mg,$0.03,,,,,,,,,,
Citalopram 10mg,Citalopram,10mg,$0.02,,,,,,,,,,
Citalopram 40mg,Citalopram,40mg,$0.03,,,,,,,,,,
Mirtazapine 30mg,Mirtazapine,30mg,$0.34,,,,,,,,,,
Mirtazapine 45mg,Mirtazapine,45mg,$0.44,,,,,,,,,,
Mirtazapine 15mg,Mirtazapine,15mg,$0.18,,,,,,,,,,
Paroxetine 20mg,Paroxetine,20mg,$0.09,,,,,,,,,,
Paroxetine 30mg,Paroxetine,30mg,$0.11,,,,,,,,,,
Sertraline 50mg,Sertraline,50mg,$0.05,,,,,,,,,,
Sertraline 100mg,Sertraline,100mg,$0.06,,,,,,,,,,
Sertraline 25mg,Sertraline,25mg,$0.04,,,,,,,,,,
Buproprion 200mg SR,Buproprion,200mg SR,$0.65,,,,,,,,,,
Buproprion 150mg SR,Buproprion,150mg SR,$0.24,,,,,,,,,,
Buproprion 100mg,Buproprion,100mg,$0.34,,,,,,,,,,
Buproprion 75mg,Buproprion,75mg,$0.25,,,,,,,,,,
Nortryptiline 25mg,Nortryptiline,25mg,$0.11,,,,,,,,,,
Nortryptiline 10mg,Nortryptiline,10mg,$0.07,,,,,,,,,,
Amitriptyline 10mg,Amitriptyline,10mg,$0.02,,,,,,,,,,
Amitriptyline 50mg,Amitriptyline,50mg,$0.47,,,,,,,,,,
Amitriptyline 25mg,Amitriptyline,25mg,$0.02,,,,,,,,,,
Lithium 300mg tab,Lithium,300mg tab,$0.16,,,,,,,,,,
Lithium 300mg cap,Lithium,300mg cap,$0.02,,,,,,,,,,
Haloperidol 0.5mg, 1mg, 2mg, 5mg, 10mg,Haloperidol,0.5mg, 1mg, 2mg, 5mg, 10mg,$0.40-$0.59,,
Risperidone 3mg,Risperidone,3mg,$0.28,,,,,,,,,,
Risperidone 1mg,Risperidone,1mg,$0.26,,,,,,,,,,
Risperidone 2mg,Risperidone,2mg,$0.28,,,,,,,,,,
Risperidone 0.25mg,Risperidone,0.25mg,$0.19,,,,,,,,,,
Quetiapine 25mg, 100mg, 200mg,Quetiapine,25mg, 100mg, 200mg,$0.11,,,,,,
Aripiprazole (Abilify): : DO NOT PRESCRIBE. See TS for PDAP. 2mg, 5mg, 10mg, 15mg, 20mg, 30mg,Aripiprazole (Abilify): : DO NOT PRESCRIBE. See TS for PDAP.,2mg, 5mg, 10mg, 15mg, 20mg, 30mg,$12.20-$22.01
Alprazolam 0.25mg, 0.5mg, 1mg,Alprazolam,0.25mg, 0.5mg, 1mg,$0.03,,,,,,
Lorazepam 2mg,Lorazepam,2mg,$0.05,,,,,,,,,,
Lorazepam 0.5mg,Lorazepam,0.5mg,$0.02,,,,,,,,,,
Lorazepam 1mg,Lorazepam,1mg,$0.03,,,,,,,,,,
Clonazepam 2mg,Clonazepam,2mg,$0.04,,,,,,,,,,
Clonazepam 1mg,Clonazepam,1mg,$0.03,,,,,,,,,,
Clonazepam 0.5mg,Clonazepam,0.5mg,$0.01,,,,,,,,,,
Cyclobenzaprine 10mg,Cyclobenzaprine,10mg,$0.03,,,,,,,,,,
Cyclobenzaprine 5mg,Cyclobenzaprine,5mg,$0.04,,,,,,,,,,
Zolpidem 5mg,Zolpidem,5mg,$0.02,,,,,,,,,,
Zolpidem 10mg,Zolpidem,10mg,$0.03,,,,,,,,,,
Trazodone 100mg,Trazodone,100mg,$0.04,,,,,,,,,,
Trazodone 50mg,Trazodone,50mg,$0.02,,,,,,,,,,
Topamax 25mg,Topamax,25mg,$0.04,,,,,,,,,,
Valproate/Valproic acid 125mg, 250mg, 500mg,Valproate/Valproic acid,125mg, 250mg, 500mg,$0.07-$0.13,,,,,,
Lamotrigine 25mg, 100mg, 150mg, 200mg,Lamotrigine,25mg, 100mg, 150mg, 200mg,$0.06-$0.09,,,,
Carbamazepine 200mg,Carbamazepine,200mg,$0.67,,,,,,,,,,
Gabapentin 600mg,Gabapentin,600mg,$0.16,,,,,,,,,,
Gabapentin 100mg,Gabapentin,100mg,$0.08,,,,,,,,,,
Gabapentin 300mg,Gabapentin,300mg,$0.04,,,,,,,,,,
Pregabalin (Lyrica)- DO NOT PRESCRIBE. See TS for PDAP. 75mg, 100mg,Pregabalin (Lyrica)- DO NOT PRESCRIBE. See TS for PDAP.,75mg, 100mg,$3.16,,,,,,,,
Pregabalin (Lyrica)- DO NOT PRESCRIBE. See TS for PDAP. 25mg, 50mg,Pregabalin (Lyrica)- DO NOT PRESCRIBE. See TS for PDAP.,25mg, 50mg,$2.88,,,,,,,,
Prednisone 10mg,Prednisone,10mg,$0.03,,,,,,,,,,
Prednisone 50mg,Prednisone,50mg,$0.16,,,,,,,,,,
Prednisone 1mg,Prednisone,1mg,$0.05,,,,,,,,,,
Prednisone 20mg,Prednisone,20mg,$0.04,,,,,,,,,,
Prednisone 5mg,Prednisone,5mg,$0.02,,,,,,,,,,
Albuterol HFA Inhaler 18mcg,Albuterol HFA Inhaler,18mcg,$37.25,,,,,,,,,,
Fluticasone inhaler (Flovent) - DO NOT PRESCRIBE. See TS for PDAP. ,Fluticasone inhaler (Flovent) - DO NOT PRESCRIBE. See TS for PDAP.,,$217.08,,,,,,,,,,
Montelukast (Singulair) -DO NOT PRESCRIBE. See TS for PDAP. ,Montelukast (Singulair) -DO NOT PRESCRIBE. See TS for PDAP.,,$217.08,,,,,,,,,,
Fluticasone/salmeterol (Advair) - DO NOT PRESCRIBE. See TS for PDAP. ,Fluticasone/salmeterol (Advair) - DO NOT PRESCRIBE. See TS for PDAP.,,$182.52,,,,,,,,,,
Ipratroprium/Salmeterol (Atrovent) - DO NOT PRESCRIBE. See TS for PDAP. ,Ipratroprium/Salmeterol (Atrovent) - DO NOT PRESCRIBE. See TS for PDAP.,,$182.52,,,,,,,,,,
Budesonide/formeterol (Symbicort) - DO NOT PRESCRIBE. See TS for PDAP. ,Budesonide/formeterol (Symbicort) - DO NOT PRESCRIBE. See TS for PDAP.,,$182.52,,,,,,,,,,
Asthma medication spacer ,Asthma medication spacer,,$182.52,,,,,,,,,,
Diphenhydramine 25mg,Diphenhydramine,25mg,$0.01,,,,,,,,,,
Diphenhydramine 50mg,Diphenhydramine,50mg,$0.02,,,,,,,,,,
Loratadine 10mg,Loratadine,10mg,$0.05,,,,,,,,,,
Cetirizine 5mg,Cetirizine,5mg,$0.08,,,,,,,,,,
Cetirizine 10mg,Cetirizine,10mg,$0.06,,,,,,,,,,
Isotonic saline spray 0.65% 45mL ,Isotonic saline spray 0.65% 45mL,,$0.59,,,,,,,,,,
beclomethasone nasal (Beconase AQ) - DO NOT PRESCRIBE. See TS for PDAP. ,beclomethasone nasal (Beconase AQ) - DO NOT PRESCRIBE. See TS for PDAP.,,$0.59,,,,,,,,,,
fluticasone nasal spray ,fluticasone nasal spray,,$17.76,,,,,,,,,,
Hydroxyzine 10mg,Hydroxyzine,10mg,$0.12,,,,,,,,,,
Hydroxyzine 25mg,Hydroxyzine,25mg,$0.09,,,,,,,,,,
Hydroxyzine 50mg,Hydroxyzine,50mg,$0.15,,,,,,,,,,
Ursodiol 300mg,Ursodiol,300mg,$0.22,,,,,,,,,,
Epipen - TALK TO TS BEFORE PRESCRIBING Dual Pack,Epipen - TALK TO TS BEFORE PRESCRIBING,Dual Pack,$150,,,,,,,,,,
Hydrocortisone 1% cream 30g,Hydrocortisone 1% cream,30g,$1.14,,,,,,,,,,
Hydrocortisone 0.5% ointment 30g,Hydrocortisone 0.5% ointment,30g,$2.76,,,,,,,,,,
Hydrocortisone 1% ointment 30g,Hydrocortisone 1% ointment,30g,$0.76,,,,,,,,,,
Triamcinolone acetonide 0.1% cream 15g,Triamcinolone acetonide 0.1% cream,15g,$5.45,,,,,,,,,,
Triamcinolone acetonide 0.1% cream 30g,Triamcinolone acetonide 0.1% cream,30g,$5.63,,,,,,,,,,
Mometasone furoate 0.1% cream 45gm ,Mometasone furoate 0.1% cream 45gm,,$7.25,,,,,,,,,,
Betamethasone 0.1% 15g,Betamethasone 0.1%,15g,$2.74,,,,,,,,,,
Clobetasol 0.05% 45g cream ,Clobetasol 0.05% 45g cream,,$9.21,,,,,,,,,,
BenzaClin gel - DO NOT PRESCRIBE ,BenzaClin gel - DO NOT PRESCRIBE,,$380,,,,,,,,,,
Terazosin 1mg, 2mg, 5mg,Terazosin,1mg, 2mg, 5mg,$0.07,,,,,,
Finasteride 5mg,Finasteride,5mg,$0.09,,,,,,,,,,
Tamsulosin (Flomax) - DO NOT PRESCRIBE 5mg,Tamsulosin (Flomax) - DO NOT PRESCRIBE,5mg,$0.23,,,,,,,,,,
Sildenafil (Viagra) - DO NOT PRESCRIBE. See TS for PDAP. 5mg,Sildenafil (Viagra) - DO NOT PRESCRIBE. See TS for PDAP.,5mg,$0.23,,,,,,,,,,
Caverject (alprostadil) - DO NOT PRESCRIBE. See TS for PDAP. 5mg,Caverject (alprostadil) - DO NOT PRESCRIBE. See TS for PDAP.,5mg,$0.23,,,,,,,,,,
Prednisone 10mg,Prednisone,10mg,$0.12,,,,,,,,,,
Prednisone 50mg,Prednisone,50mg,$0.16,,,,,,,,,,
